update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
241,49,4,123392,493568,0.0,0.0,-0.009642199613153934,-0.015452277846634388,0.026962315663695335,0.001200281549245119,0.0,0.0,0.0,677.3687073000037
242,49,3,123904,495104,0.0,0.0,-0.008009044453501701,-0.01299253012984991,0.052093736827373505,0.0020858505740761757,0.0,0.0,0.0,679.5458190000063
243,49,5,124416,497664,0.0,0.0,-0.011837225407361984,-0.017048049718141556,0.040478937327861786,0.0015698750503361225,0.0,0.0,0.0,682.2859664000061
244,49,6,124928,500736,0.0,0.0,-0.012840830720961094,-0.01875629834830761,0.03747820481657982,0.0007382926996797323,0.0,0.0,0.0,686.0048907000019
245,49,2,125440,501760,0.0,0.0,-0.00287934229709208,-0.010475335642695427,0.023048609495162964,0.003390815807506442,0.0,0.0,0.0,688.1750396000061
246,50,2,125952,502784,0.0,0.0,-0.0029167321044951677,-0.010475656017661095,0.05609520524740219,0.002701195189729333,0.0,0.0,0.0,690.525641900007
247,50,3,126464,504320,0.0,0.0,-0.007885412313044071,-0.012991889379918575,0.05791341885924339,0.0018201670609414577,0.0,0.0,0.0,693.0530349000037
248,50,4,126976,506368,0.0,0.0,-0.00924675166606903,-0.015451811254024506,0.025507912039756775,0.001645322423428297,0.0,0.0,0.0,695.3895252000002
249,50,5,127488,508928,0.0,0.0,-0.011580894701182842,-0.017047634348273277,0.02481713704764843,0.0010599868837743998,0.0,0.0,0.0,698.9626413000005
250,50,6,128000,512000,0.0,0.0,-0.012575517408549786,-0.018756220117211342,0.047900278121232986,0.002675611525774002,0.0,0.0,0.0,702.1419718000034
251,51,4,128512,514048,0.0,0.0,-0.009003165178000927,-0.015451906248927116,0.04497155919671059,0.004474591463804245,0.0,0.0,0.0,704.1472921000022
252,51,5,129024,516608,0.0,0.0,-0.011471600271761417,-0.01704772748053074,0.027840662747621536,0.0010140016674995422,0.0,0.0,0.0,706.5647775000034
253,51,2,129536,517632,0.0,0.0,-0.0025134871248155832,-0.01047598198056221,0.04009348526597023,0.0031947391107678413,0.0,0.0,0.0,707.9090575000009
254,51,6,130048,520704,0.0,0.0,-0.012343539856374264,-0.01875552162528038,0.03948366641998291,0.0013184567214921117,0.0,0.0,0.0,710.9309088000009
255,51,3,130560,522240,0.0,0.0,-0.007454756647348404,-0.01299218274652958,0.06817064434289932,0.002207093173637986,0.0,0.0,0.0,712.5437416000059
256,52,2,131072,523264,0.0,0.0,-0.00237639294937253,-0.010475377552211285,0.03714556246995926,0.0018063203897327185,0.0,0.0,0.0,713.8207617000007
257,52,4,131584,525312,0.0,0.0,-0.008717748336493969,-0.015451583079993725,0.06237848475575447,0.0020277597941458225,0.0,0.0,0.0,715.9378692000028
258,52,6,132096,528384,0.0,0.0,-0.012215238064527512,-0.01875634491443634,0.04650972783565521,0.0016374763799831271,0.0,0.0,0.0,719.6284932000053
259,52,5,132608,530944,0.0,0.0,-0.011097731068730354,-0.017047638073563576,0.05729122459888458,0.001486963126808405,0.0,0.0,0.0,722.0463663000046
260,52,3,133120,532480,0.0,0.0,-0.007458894979208708,-0.012992515228688717,0.04431454837322235,0.0025150941219180822,0.0,0.0,0.0,723.7079950000043
261,53,3,133632,534016,0.0,0.0,-0.007361560128629208,-0.012992087751626968,0.05930795520544052,0.0025207779835909605,0.0,0.0,0.0,725.6530674000023
262,53,4,134144,536064,0.0,0.0,-0.008777515031397343,-0.01545144896954298,0.04103061184287071,0.0026223198510706425,0.0,0.0,0.0,728.6511999000068
263,53,2,134656,537088,0.0,0.0,-0.0022626302670687437,-0.010475139133632183,0.08053717017173767,0.0030080873984843493,0.0,0.0,0.0,730.4548436000041
264,53,5,135168,539648,0.0,0.0,-0.011254697106778622,-0.01704745553433895,0.03614901378750801,0.00110164238139987,0.0,0.0,0.0,733.0615214000063
265,53,6,135680,542720,0.0,0.0,-0.012190844863653183,-0.018755493685603142,0.05717821046710014,0.0039033882785588503,0.0,0.0,0.0,736.1454699000024
266,54,6,136192,545792,0.0,0.0,-0.01220606081187725,-0.01875467598438263,0.02388596534729004,0.0018690479919314384,0.0,0.0,0.0,739.9280755
267,54,4,136704,547840,0.0,0.0,-0.008677434176206589,-0.015451066195964813,0.05726245045661926,0.0019543315283954144,0.0,0.0,0.0,742.0584955000013
268,54,3,137216,549376,0.0,0.0,-0.0071034603752195835,-0.012992198579013348,0.12865521013736725,0.002322988584637642,0.0,0.0,0.0,743.743725100001
269,54,2,137728,550400,0.0,0.0,-0.0021260937210172415,-0.010475167073309422,0.038813211023807526,0.004702358040958643,0.0,0.0,0.0,745.0898050000033
270,54,5,138240,552960,0.0,0.0,-0.011068370193243027,-0.017047176137566566,0.025172559544444084,0.0014130111085250974,0.0,0.0,0.0,747.9023235000059
271,55,3,138752,554496,0.0,0.0,-0.0072000110521912575,-0.012992584146559238,0.06829426437616348,0.0021796110086143017,0.0,0.0,0.0,749.9022878000033
272,55,6,139264,557568,0.0,0.0,-0.012019547633826733,-0.018755324184894562,0.05912334844470024,0.002095266245305538,0.0,0.0,0.0,752.7850214000064
273,55,2,139776,558592,0.0,0.0,-0.002267334144562483,-0.010472861118614674,0.05686786025762558,0.004060220904648304,0.0,0.0,0.0,754.1323890000058
274,55,4,140288,560640,0.0,0.0,-0.008626550436019897,-0.015451026149094105,0.03285595029592514,0.0023683905601501465,0.0,0.0,0.0,756.629938500002
275,55,5,140800,563200,0.0,0.0,-0.011121044866740704,-0.01704743690788746,0.024101175367832184,0.0012178897159174085,0.0,0.0,0.0,760.7988546000051
276,56,3,141312,564736,0.0,0.0,-0.007324110250920057,-0.012992551550269127,0.038797635585069656,0.0008998012053780258,0.0,0.0,0.0,763.3192679000058
277,56,5,141824,567296,0.0,0.0,-0.011165345087647438,-0.017047179862856865,0.05359834432601929,0.0014558522962033749,0.0,0.0,0.0,766.7426289000068
278,56,4,142336,569344,0.0,0.0,-0.008810446597635746,-0.015451068989932537,0.04182981699705124,0.004029795527458191,0.0,0.0,0.0,770.4817771000016
279,56,2,142848,570368,0.0,0.0,-0.002278178231790662,-0.010475401766598225,0.06257610023021698,0.005679964553564787,0.0,0.0,0.0,771.8923611999999
280,56,6,143360,573440,0.0,0.0,-0.012127302587032318,-0.01875557191669941,0.04348283261060715,0.0034866686910390854,0.0,0.0,0.0,775.0939261000021
281,57,2,143872,574464,0.0,0.0,-0.002270251978188753,-0.010475309565663338,0.04684199020266533,0.0027729140128940344,0.0,0.0,0.0,776.6615541000065
282,57,4,144384,576512,0.0,0.0,-0.008742554113268852,-0.015451140701770782,0.03991056606173515,0.005103451665490866,0.0,0.0,0.0,779.8321724000052
283,57,5,144896,579072,0.0,0.0,-0.01111710723489523,-0.01704750396311283,0.059817418456077576,0.0014119086554273963,0.0,0.0,0.0,782.837234000006
284,57,3,145408,580608,0.0,0.0,-0.007285001687705517,-0.012993164360523224,0.05410628765821457,0.0009764772257767618,0.0,0.0,0.0,785.668371000007
285,57,6,145920,583680,0.0,0.0,-0.012088479474186897,-0.01875530742108822,0.03487924486398697,0.0034302189014852047,0.0,0.0,0.0,790.2983944000007
286,58,5,146432,586240,0.0,0.0,-0.011019526049494743,-0.017047218978405,0.030729040503501892,0.001385621028020978,0.0,0.0,0.0,793.6191206000003
287,58,6,146944,589312,0.0,0.0,-0.011934678070247173,-0.018755054101347923,0.0406273752450943,0.0014968898613005877,0.0,0.0,0.0,796.8607080000002
288,58,3,147456,590848,0.0,0.0,-0.00707056513056159,-0.012992228381335735,0.06009901314973831,0.00267103873193264,0.0,0.0,0.0,798.7278917000003
289,58,2,147968,591872,0.0,0.0,-0.0020689452067017555,-0.01047496683895588,0.01611502096056938,0.0028856294229626656,0.0,0.0,0.0,800.051413000001
290,58,4,148480,593920,0.0,0.0,-0.008464370854198933,-0.015450957231223583,0.02616668865084648,0.0015992175322026014,0.0,0.0,0.0,802.3497938
291,59,2,148992,594944,0.0,0.0,-0.0019657001830637455,-0.010474677197635174,0.06384164094924927,0.004642454907298088,0.0,0.0,0.0,803.9263081000026
292,59,4,149504,596992,0.0,0.0,-0.008436259813606739,-0.015450943261384964,0.040067948400974274,0.0007887062965892255,0.0,0.0,0.0,806.6554728000046
293,59,6,150016,600064,0.0,0.0,-0.011918514966964722,-0.01875496283173561,0.03394247218966484,0.0013414878631010652,0.0,0.0,0.0,810.4514830000044
294,59,3,150528,601600,0.0,0.0,-0.006995607167482376,-0.012992779724299908,0.12589359283447266,0.0015767544973641634,0.0,0.0,0.0,812.2047057000018
295,59,5,151040,604160,0.0,0.0,-0.010753380134701729,-0.017047399654984474,0.07230955362319946,0.0014836405171081424,0.0,0.0,0.0,814.6425614000036
296,60,5,151552,606720,0.0,0.0,-0.010886096395552158,-0.017047977074980736,0.04475168511271477,0.0006597864557988942,0.0,0.0,0.0,818.1827786000067
297,60,6,152064,609792,0.0,0.0,-0.011946049518883228,-0.018755052238702774,0.018159955739974976,0.001458951854147017,0.0,0.0,0.0,821.9971842000014
298,60,4,152576,611840,0.0,0.0,-0.00847181212157011,-0.015450194478034973,0.02573644369840622,0.0017290756804868579,0.0,0.0,0.0,824.1260933000012
299,60,3,153088,613376,0.0,0.0,-0.007116104941815138,-0.012992233969271183,0.07256557792425156,0.0029984619468450546,0.0,0.0,0.0,825.810218000006
300,60,2,153600,614400,0.0,0.0,-0.002096031792461872,-0.010474957525730133,0.062082868069410324,0.003563257399946451,0.0,0.0,0.0,827.2696623000011
